"pair_id","year","make","model","trim_hyb","trim_ice","trim_key","trim_key_hyb","body_type_hyb","drive_type_hyb","drive_type_ice","truck_bed","package_hyb","package_ice","msrp_hyb","msrp_ice","hp_hyb","hp_ice","mpg_combined_hyb","mpg_combined_ice","curb_weight_hyb","curb_weight_ice"
152,2020,"Honda","Civic","LX","LX","lx","lx","Sedan","front wheel drive","front wheel drive",,"","",22930,20550,151,158,52,33,2987,2771
153,2021,"Honda","Civic","LX","LX","lx","lx","Sedan","front wheel drive","front wheel drive",,"","",22930,21050,151,158,52,33,2987,2771
154,2021,"Honda","Civic","EX","EX","ex","ex","Sedan","front wheel drive","front wheel drive",,"","",24810,24200,151,174,52,36,3000,2917
155,2021,"Honda","Civic","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",28840,28100,151,174,48,33,3078,2963
156,2025,"Honda","Civic","Sport Hybrid","Sport","sport","sport","Sedan","front wheel drive","front wheel drive",,"","",28950,26250,200,150,49,34,3208,2935
157,2025,"Honda","Civic","Sport Hybrid","Sport","sport","sport","Hatchback","front wheel drive","front wheel drive",,"","",31150,27450,200,150,48,34,3252,2976
158,2026,"Honda","Civic","Sport Hybrid","Sport","sport","sport","Sedan","front wheel drive","front wheel drive",,"","",29395,26695,200,150,49,34,3208,2926
159,2026,"Honda","Civic","Sport Hybrid","Sport","sport","sport","Hatchback","front wheel drive","front wheel drive",,"","",30595,27895,200,150,48,34,3252,2976
160,2021,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",28100,25450,139,147,50,35,3069,2725
161,2022,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",28600,25950,139,147,50,35,3069,2725
162,2023,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",29150,26800,139,147,50,34,3069,2725
163,2024,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",29450,27065,139,147,50,34,3069,2868
164,2025,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",29800,26775,139,147,50,34,3069,2868
165,2025,"Hyundai","Elantra","SEL Sport","SEL Sport","sel sport","sel sport","Sedan","front wheel drive","front wheel drive",,"","",27425,23250,139,147,50,34,,2868
166,2026,"Hyundai","Elantra","SEL Sport","SEL Sport","sel sport","sel sport","Sedan","front wheel drive","front wheel drive",,"","",27425,23750,139,147,50,34,,2868
167,2026,"Hyundai","Elantra","Limited","Limited","limited","limited","Sedan","front wheel drive","front wheel drive",,"","",29800,27175,139,147,50,34,3069,2868
168,2026,"Hyundai","Palisade","Hybrid Calligraphy","Calligraphy","calligraphy","calligraphy","SUV","front wheel drive","front wheel drive",,"","",56780,54560,329,287,31,21,4795,4872
169,2026,"Hyundai","Palisade","Hybrid SEL","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"7 Passenger Seating","7 Passenger Seating",46160,43940,329,287,29,20,4795,4872
170,2026,"Hyundai","Palisade","Hybrid Limited","Limited","limited","limited","SUV","front wheel drive","front wheel drive",,"","",51990,49770,329,287,31,21,4795,4461
171,2026,"Hyundai","Palisade","Hybrid Limited","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",53990,51770,329,287,29,20,4938,4795
172,2026,"Hyundai","Palisade","Hybrid SEL Premium","SEL Premium","sel premium","sel premium","SUV","all wheel drive","all wheel drive",,"7 Passenger Seating","7 Passenger Seating",49520,47300,329,287,29,20,4795,4493
173,2026,"Hyundai","Palisade","Hybrid Calligraphy","Calligraphy","calligraphy","calligraphy","SUV","all wheel drive","all wheel drive",,"","",58780,56560,329,287,29,20,4938,4872
174,2026,"Hyundai","Palisade","Hybrid SEL Premium","SEL Premium","sel premium","sel premium","SUV","all wheel drive","all wheel drive",,"8 Passenger Seating","8 Passenger Seating",49520,47300,329,287,29,20,4795,4575
175,2026,"Hyundai","Palisade","Hybrid SEL","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"8 Passenger Seating","8 Passenger Seating",46160,43940,329,287,29,20,4795,4575
176,2021,"Hyundai","Santa Fe","Limited","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",39950,40450,226,277,32,24,4226,4017
177,2022,"Hyundai","Santa Fe","Limited","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",40710,41110,226,277,32,24,4226,4017
178,2023,"Hyundai","Santa Fe","Limited","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",41870,42300,226,281,32,24,4227,4017
179,2024,"Hyundai","Santa Fe","Calligraphy Hybrid","Calligraphy","calligraphy","calligraphy","SUV","front wheel drive","front wheel drive",,"","",47000,46500,231,277,36,24,4431,4343
180,2024,"Hyundai","Santa Fe","Limited Hybrid","Limited","limited","limited","SUV","front wheel drive","front wheel drive",,"","",43850,43350,231,277,36,24,4431,4343
